DISP_DATE,ORIG_PROV_CODE,ORIG_PROV_NAME,ORIG_DIST_CODE,ORIG_DIST_NAME,DISP_PROV_CODE,DISP_PROV_NAME,DISP_DIST_CODE,DISP_DIST_NAME,DISP_IND,DISP_FAM,DISP_ADULT_MALE,DISP_ADULT_FEMALE,DISP_CHILDREN_U18
#date+occurred,#admin1+code+x_origin,#admin1+name+x_origin,#admin2+code+x_origin,#admin2+name+x_origin,#admin1+code+x_destination,#admin1+name+x_destination,#admin1+code+x_destination,#admin1+name+x_destination,#affected+displaced,#affected+dispalced+families,#affected+displaced+m+adults,#affected+displaced+f+adults,#affected+dispalced+children
01/01/2017,6,Nangarhar,614,Kot,13,Kunar,1301,Asadabad,17,4,4,4,9
01/01/2017,13,Kunar,1305,Marawara,13,Kunar,1301,Asadabad,24,3,,,
01/01/2017,13,Kunar,1310,Dangam,13,Kunar,1301,Asadabad,10,2,2,2,6
01/01/2017,28,Faryab,2801,Maymana,30,Hirat,3001,Hirat,7,1,,,
01/01/2017,23,Uruzgan,2302,Chora / Chinarto,23,Uruzgan,2301,Tirinkot,6510,607,,,
01/01/2017,13,Kunar,1307,Dara-e-Pech,13,Kunar,1301,Asadabad,21,4,4,2,15
01/01/2017,13,Kunar,1312,Ghaziabad,13,Kunar,1301,Asadabad,8,1,,,
01/01/2017,13,Kunar,1302,Watapur,13,Kunar,1301,Asadabad,64,13,11,14,39
01/01/2017,29,Badghis,2905,Jawand,29,Badghis,2901,Qala-e-Naw,77,14,,,
01/01/2017,29,Badghis,2904,Qadis,30,Hirat,3002,Injil,28,4,,,
01/01/2017,28,Faryab,2806,Qaysar,18,Balkh,1801,Mazar-e-Sharif,175,25,,,
01/01/2017,17,Kunduz,1703,Qala-e-Zal,17,Kunduz,1703,Qala-e-Zal,546,78,,,
01/01/2017,13,Kunar,1303,Narang,13,Kunar,1309,Khaskunar,13,3,1,3,9
01/01/2017,13,Kunar,1312,Ghaziabad,13,Kunar,1309,Khaskunar,15,4,3,4,8
01/01/2017,32,Hilmand,3203,Nad-e-Ali / Marja,30,Hirat,3001,Hirat,14,2,,,
01/01/2017,17,Kunduz,1707,Dasht-e-Archi,13,Kunar,1301,Asadabad,9,1,1,2,6
01/01/2017,13,Kunar,1304,Sarkani,13,Kunar,1309,Khaskunar,18,4,3,4,11
01/01/2017,14,Nuristan,1406,Waygal,13,Kunar,1307,Dara-e-Pech,13,3,3,3,7
01/01/2017,21,Ghor,2105,Shahrak,30,Hirat,3008,Gulran,56,8,,,
01/01/2017,19,Samangan,1904,Dara-e-Suf-e-Payin,18,Balkh,1801,Mazar-e-Sharif,966,26,,,
01/01/2017,33,Kandahar,3306,Shahwalikot,33,Kandahar,3306,Shahwalikot,245,35,,,
02/01/2017,13,Kunar,1307,Dara-e-Pech,13,Kunar,1304,Sarkani,7,1,,,
02/01/2017,13,Kunar,1304,Sarkani,13,Kunar,1304,Sarkani,48,8,7,8,33
02/01/2017,14,Nuristan,1407,Kamdesh,13,Kunar,1304,Sarkani,9,1,1,1,7
02/01/2017,17,Kunduz,1706,Khanabad,1,Kabul,101,Kabul,91,13,23,38,30
02/01/2017,21,Ghor,2106,Taywarah,30,Hirat,3002,Injil,21,3,,,
02/01/2017,21,Ghor,2101,Chaghcharan,30,Hirat,3002,Injil,21,3,,,
02/01/2017,20,Sar-e-Pul,2007,Sancharak,18,Balkh,1801,Mazar-e-Sharif,35,5,,,
02/01/2017,32,Hilmand,3209,Garmser,32,Hilmand,3209,Garmser,721,103,,,
02/01/2017,29,Badghis,2903,Abkamari,29,Badghis,2901,Qala-e-Naw,22,4,,,
02/01/2017,13,Kunar,1315,Nari,13,Kunar,1305,Marawara,12,2,2,3,7
02/01/2017,29,Badghis,2905,Jawand,30,Hirat,3002,Injil,28,4,,,
02/01/2017,28,Faryab,2803,Pashtunkot,30,Hirat,3001,Hirat,56,8,,,
02/01/2017,2,Kapisa,205,Tagab,2,Kapisa,205,Tagab,1253,179,,,
02/01/2017,32,Hilmand,3204,Nawa-e-Barakzaiy,32,Hilmand,3201,Lashkargah,247,36,,,
02/01/2017,28,Faryab,2804,Shirintagab,18,Balkh,1801,Mazar-e-Sharif,189,27,,,
02/01/2017,13,Kunar,1310,Dangam,13,Kunar,1305,Marawara,22,5,5,5,12
02/01/2017,21,Ghor,2101,Chaghcharan,30,Hirat,3001,Hirat,28,4,,,
02/01/2017,33,Kandahar,3312,Arghestan,33,Kandahar,3312,Arghestan,245,35,,,
02/01/2017,13,Kunar,1305,Marawara,13,Kunar,1305,Marawara,28,4,5,5,18
02/01/2017,31,Farah,3103,Balabuluk,31,Farah,3101,Farah,301,43,,,
03/01/2017,13,Kunar,1312,Ghaziabad,13,Kunar,1301,Asadabad,9,1,2,3,4
03/01/2017,13,Kunar,1302,Watapur,13,Kunar,1302,Watapur,40,7,7,8,25
03/01/2017,30,Hirat,3015,Shindand,30,Hirat,3001,Hirat,42,6,,,
03/01/2017,32,Hilmand,3201,Lashkargah,32,Hilmand,3201,Lashkargah,612,81,,,
03/01/2017,17,Kunduz,1701,Kunduz,13,Kunar,1306,Shigal Wa Sheltan,20,4,4,4,12
03/01/2017,27,Jawzjan,2707,Aqcha,18,Balkh,1801,Mazar-e-Sharif,21,3,,,
