DISP_DATE,ORIG_PROV_CODE,ORIG_PROV_NAME,ORIG_DIST_CODE,ORIG_DIST_NAME,DISP_PROV_CODE,DISP_PROV_NAME,DISP_DIST_CODE,DISP_DIST_NAME,DISP_IND,DISP_FAM,DISP_ADULT_MALE,DISP_ADULT_FEMALE,DISP_CHILDREN_U18
#date+occurred,#admin1+code+x_origin,#admin1+name+x_origin,#admin2+code+x_origin,#admin2+name+x_origin,#admin1+code+x_destination,#admin1+name+x_destination,#admin2+code+x_destination,#admin2+name+x_destination,#affected+displaced,#affected+dispalced+families,#affected+displaced+m+adults,#affected+displaced+f+adults,#affected+dispalced+children
09-02-20,26,Khost,2602,Sabari,26,Khost,2601,Khost (Matun),196,28,,,
10-02-20,26,Khost,2604,Nadirshahkot,26,Khost,2601,Khost (Matun),140,20,,,
11-02-20,26,Khost,2609,Qalandar,26,Khost,2601,Khost (Matun),126,18,,,
10-02-20,26,Khost,2611,Spera,26,Khost,2601,Khost (Matun),105,15,,,
13-02-20,25,Paktika,2516,Gyan,26,Khost,2601,Khost (Matun),56,8,,,
02-01-20,12,Paktya,1202,Sayedkaram / Mirzaka,12,Paktya,1201,Gardez,245,35,,,
04-01-20,12,Paktya,1209,Janikhel,12,Paktya,1201,Gardez,175,25,,,
06-01-20,12,Paktya,1204,Zurmat,12,Paktya,1201,Gardez,147,21,,,
07-01-20,12,Paktya,1206,Zadran,12,Paktya,1201,Gardez,77,11,,,
09-01-20,5,Logar,504,Barakibarak,12,Paktya,1201,Gardez,42,6,,,
16-02-20,12,Paktya,1204,Zurmat,12,Paktya,1201,Gardez,273,39,,,
18-02-20,12,Paktya,1208,Alikhel (Jaji),12,Paktya,1201,Gardez,147,21,,,
19-02-20,12,Paktya,1202,Sayedkaram / Mirzaka,12,Paktya,1201,Gardez,168,24,,,
22-02-20,12,Paktya,1209,Janikhel,12,Paktya,1201,Gardez,119,17,,,
23-02-20,12,Paktya,1207,Lija Ahmad Khel / Laja Mangel,12,Paktya,1201,Gardez,70,10,,,
25-02-20,5,Logar,503,Mohammadagha,12,Paktya,1201,Gardez,35,5,,,
07-01-20,25,Paktika,2509,Sarobi,25,Paktika,2501,Sharan,28,4,,,
10-01-20,25,Paktika,2514,Wormamay,25,Paktika,2510,Urgun,14,2,,,
04-02-20,25,Paktika,2518,Dila,25,Paktika,2501,Sharan,105,15,,,
11-02-20,25,Paktika,2511,Naka,25,Paktika,2501,Sharan,77,11,,,
12-02-20,25,Paktika,2519,Turwo,25,Paktika,2510,Urgun,28,4,,,
27-06-20,25,Paktika,2502,Matakhan,25,Paktika,2502,Matakhan,154,22,,,
10-08-20,25,Paktika,2515,Bermel,25,Paktika,2515,Bermel,1806,258,,,
18-08-20,11,Ghazni,1101,Ghazni,11,Ghazni,1101,Ghazni,637,91,,,
21-07-20,11,Ghazni,1101,Ghazni,11,Ghazni,1101,Ghazni,252,30,,,
20-05-20,11,Ghazni,1110,Qarabagh,11,Ghazni,1101,Ghazni,102,16,,,
05-04-20,26,Khost,2602,Sabari,26,Khost,2601,Khost (Matun),161,23,,,
06-04-20,26,Khost,2612,Bak,26,Khost,2601,Khost (Matun),140,20,,,
07-04-20,26,Khost,2608,Terezayi,26,Khost,2601,Khost (Matun),105,15,,,
08-06-20,12,Paktya,1209,Janikhel,12,Paktya,1201,Gardez,210,30,,,
09-06-20,12,Paktya,1206,Zadran,12,Paktya,1201,Gardez,154,22,,,
11-06-20,12,Paktya,1204,Zurmat,12,Paktya,1201,Gardez,105,15,,,
14-06-20,12,Paktya,1202,Sayedkaram / Mirzaka,12,Paktya,1201,Gardez,70,10,,,
06-09-20,12,Paktya,1208,Alikhel (Jaji),12,Paktya,1201,Gardez,196,28,,,
08-09-20,12,Paktya,1202,Sayedkaram / Mirzaka,12,Paktya,1201,Gardez,140,20,,,
13-09-20,12,Paktya,1206,Zadran,12,Paktya,1201,Gardez,126,18,,,
14-09-20,12,Paktya,1203,Ahmadaba,12,Paktya,1201,Gardez,70,10,,,
15-09-20,12,Paktya,1209,Janikhel,12,Paktya,1201,Gardez,84,12,,,
06-04-20,26,Khost,2603,Musakhel,26,Khost,2601,Khost (Matun),63,9,,,
04-08-20,26,Khost,2602,Sabari,26,Khost,2601,Khost (Matun),140,20,,,
05-08-20,26,Khost,2608,Terezayi,26,Khost,2601,Khost (Matun),133,19,,,
09-08-20,26,Khost,2603,Musakhel,26,Khost,2601,Khost (Matun),126,18,,,
10-08-20,26,Khost,2612,Bak,26,Khost,2601,Khost (Matun),84,12,,,
12-08-20,26,Khost,2609,Qalandar,26,Khost,2601,Khost (Matun),70,10,,,
15-08-20,11,Ghazni,1101,Ghazni,11,Ghazni,1101,Ghazni,147,21,,,
20-08-20,11,Ghazni,1110,Qarabagh,11,Ghazni,1101,Ghazni,1281,183,,,
21-07-20,11,Ghazni,1101,Ghazni,11,Ghazni,1101,Ghazni,252,30,,,
01-01-20,32,Hilmand,3208,Washer,32,Hilmand,3208,Washer,2597,355,385,401,1811
01-01-20,32,Hilmand,3208,Washer,32,Hilmand,3208,Washer,1047,134,136,146,765
10-09-20,24,Zabul,2405,Shinkay,24,Zabul,2405,Shinkay,785,86,,,
21-02-20,13,Kunar,1308,Chawkay,13,Kunar,1308,Chawkay,112,16,27,35,50
06-02-20,7,Laghman,702,Alishang,7,Laghman,702,Alishang,812,116,137,203,472
03-03-20,13,Kunar,1314,Nurgal,13,Kunar,1314,Nurgal,287,41,61,73,153
25-07-20,6,Nangarhar,611,Sherzad,6,Nangarhar,611,Sherzad,2520,360,,,
21-09-20,7,Laghman,702,Alishang,7,Laghman,702,Alishang,735,105,113,198,424
23-08-20,14,Nuristan,1405,Wama,14,Nuristan,1401,Poruns,49,7,9,11,29
23-08-20,14,Nuristan,1406,Waygal,14,Nuristan,1401,Poruns,35,5,7,9,19
01-10-20,23,Uruzgan,2305,Khasuruzgan,22,Daykundi,2205,Gizab / Patoo,6125,875,,,
